segment_id,ESALs,age_years,current_PCI
SEG-0001,626106,16,62
SEG-0002,112905,25,22
SEG-0003,622052,21,88
SEG-0004,881098,18,53
SEG-0005,277847,14,59
SEG-0006,469484,3,72
SEG-0007,963311,2,23
SEG-0008,475310,9,54
SEG-0009,851835,28,40
SEG-0010,894809,12,60
SEG-0011,107769,11,64
SEG-0012,215590,22,24
SEG-0013,212952,25,99
SEG-0014,564385,22,93
SEG-0015,586407,11,48
SEG-0016,918227,5,23
SEG-0017,827963,14,52
SEG-0018,906031,29,94
SEG-0019,956705,7,89
SEG-0020,834446,28,82
SEG-0021,196535,5,56
SEG-0022,434232,23,63
SEG-0023,770983,12,34
SEG-0024,105526,12,28
SEG-0025,650710,17,71
SEG-0026,996973,8,29
SEG-0027,855472,16,74
SEG-0028,437907,11,26
SEG-0029,172042,25,90
SEG-0030,823910,5,73
SEG-0031,454083,5,45
SEG-0032,178328,11,71
SEG-0033,665492,16,22
SEG-0034,845631,17,98
SEG-0035,625728,24,71
SEG-0036,906317,19,53
SEG-0037,162651,5,44
SEG-0038,999389,9,71
SEG-0039,805300,27,35
SEG-0040,128146,26,71
SEG-0041,672658,21,32
SEG-0042,564244,3,25
SEG-0043,838435,1,57
SEG-0044,422911,20,43
SEG-0045,154136,14,95
SEG-0046,158883,6,61
SEG-0047,766273,25,74
SEG-0048,999784,28,63
SEG-0049,596768,18,77
SEG-0050,730618,28,25
SEG-0051,767837,23,83
SEG-0052,163814,6,97
SEG-0053,952430,11,61
SEG-0054,493827,26,40
SEG-0055,110316,26,67
SEG-0056,974170,20,83
SEG-0057,476644,24,55
SEG-0058,747358,3,56
SEG-0059,931471,8,74
SEG-0060,245460,26,39
SEG-0061,842766,13,91
SEG-0062,934566,9,48
SEG-0063,506783,20,27
SEG-0064,739456,9,30
SEG-0065,962107,25,65
SEG-0066,934244,11,75
SEG-0067,683872,3,64
SEG-0068,912377,6,32
SEG-0069,540498,21,77
SEG-0070,447102,2,31
SEG-0071,536321,26,26
SEG-0072,434237,24,41
SEG-0073,541560,27,88
SEG-0074,101430,16,39
SEG-0075,801575,2,83
SEG-0076,584769,22,87
SEG-0077,950846,3,38
SEG-0078,663385,11,73
SEG-0079,295681,19,66
SEG-0080,174629,21,92
SEG-0081,216904,28,54
SEG-0082,312250,10,44
SEG-0083,786273,25,69
SEG-0084,609281,12,76
SEG-0085,876273,17,28
SEG-0086,315040,11,44
SEG-0087,935245,25,57
SEG-0088,538866,29,50
SEG-0089,762054,6,29
SEG-0090,922053,24,45
SEG-0091,319291,29,71
SEG-0092,847228,6,65
SEG-0093,488523,6,32
SEG-0094,631178,16,87
SEG-0095,701518,20,82
SEG-0096,513089,9,48
SEG-0097,576589,28,86
SEG-0098,225071,1,49
SEG-0099,121329,14,43
SEG-0100,573117,5,36
SEG-0101,994577,21,67
SEG-0102,538984,9,32
SEG-0103,833939,21,68
SEG-0104,290144,21,38
SEG-0105,135355,7,78
SEG-0106,328551,3,87
SEG-0107,503704,18,39
SEG-0108,904068,26,70
SEG-0109,387987,12,46
SEG-0110,729789,13,37
SEG-0111,232206,3,57
SEG-0112,172864,2,69
SEG-0113,677215,17,96
SEG-0114,647883,1,38
SEG-0115,625783,13,56
SEG-0116,287006,16,69
SEG-0117,511929,14,68
SEG-0118,937569,25,37
SEG-0119,295701,10,36
